YEAR,QUARTER,D_DISQ1,D_DISQ2,D_DISQ3,D_DISQ4,M_DISQ1,M_DISQ2,M_DISQ3,M_DISQ4
1968,4,,,,,,,,
1969,1,,,,,,,,
1969,2,,,,,,,,
1969,3,,,,,,,,
1969,4,,,,,,,,
1970,1,,,,,,,,
1970,2,,,,,,,,
1970,3,,,,,,,,
1970,4,,,,,,,,
1971,1,,,,,,,,
1971,2,,,,,,,,
1971,3,,,,,,,,
1971,4,,,,,,,,
1972,1,,,,,,,,
1972,2,,,,,,,,
1972,3,,,,,,,,
1972,4,,,,,,,,
1973,1,,,,,,,,
1973,2,,,,,,,,
1973,3,,,,,,,,
1973,4,,,,,,,,
1974,1,,,,,,,,
1974,2,,,,,,,,
1974,3,,,,,,,,
1974,4,,,,,,,,
1975,1,,,,,,,,
1975,2,,,,,,,,
1975,3,,,,,,,,
1975,4,,,,,,,,
1976,1,,,,,,,,
1976,2,,,,,,,,
1976,3,,,,,,,,
1976,4,,,,,,,,
1977,1,,,,,,,,
1977,2,,,,,,,,
1977,3,,,,,,,,
1977,4,,,,,,,,
1978,1,,,,,,,,
1978,2,,,,,,,,
1978,3,,,,,,,,
1978,4,,,,,,,,
1979,1,,,,,,,,
1979,2,,,,,,,,
1979,3,,,,,,,,
1979,4,,,,,,,,
1980,1,,,,,,,,
1980,2,,,,,,,,
1980,3,,,,,,,,
1980,4,,,,,,,,
1981,1,,,,,,,,
1981,2,,,,,,,,
1981,3,0.9507419061859802,1.016079948430534,1.350036471007181,1.374541604030886,0.5866241479294965,0.578824363524762,0.6535784187064198,0.6508353070423215
1981,4,1.1115160881751032,1.3063200828497565,1.5585386253244353,2.0281433759744467,1.1099797898567514,1.1277644464050132,1.117840362565149,1.111345328466845
1982,1,0.7375206568531214,0.8982517555070192,1.2154379711239174,1.3928051856468697,0.6794464242215487,0.6596286907687693,0.6902742256890554,0.7766981552907455
1982,2,0.6642485250998812,0.9684993603883572,0.9212830360136895,0.9068740575933888,0.5817941576089652,0.6900588167643437,0.7447722984687709,0.824624455405099
1982,3,0.6785241834063043,1.0815987447662774,1.0247414233389809,1.0897160260075316,1.0529065897172014,0.9757705333728223,0.944179023529628,0.9402733612478487
1982,4,0.649665143683152,0.7744892632426978,0.720414164763647,0.896465157842377,0.6176290103917376,0.651968741858986,0.669289879195853,0.7895417760610672
